Unnamed: 0,File?,Data ,sender_known_malicios,sender_domain_reputation_score(float),sender_spoof_detected(bool),sender_temp_email_likelihood(float),dmarc_enforced(bool),packer_detected(bool),any_file_hash_malicious(bool),max_metadata_suspicious_score(float),malicious_attachment_Count(int),has_executable_attachment(bool),unscannable_attachment_present(bool),Authentication & Identity Assurance,total_yara_match_count(int),total_ioc_count(int),max_behavioral_sandbox_score(float),max_amsi_suspicion_score(float),any_macro_enabled_document(bool),any_vbscript_javascript_detected(bool),any_active_x_objects_detected(bool),any_network_call_on_open(bool),max_exfiltration_behavior_score(float),any_exploit_pattern_detected(bool),total_embedded_file_count(int),max_suspicious_string_entropy_score(float),max_sandbox_execution_time(float),unique_parent_process_names(categorical),return_path_mismatch_with_from(bool),return_path_known_malicious(bool),return_path_reputation_score(float),reply_path_known_malicious(bool),reply_path_diff_from_sender(bool),reply_path_reputation_Score(float),smtp_ip_known_malicious(bool),smtp_ip_geo(Float),smtp_ip_asn(categorical),smtp_ip_reputation_score(float),domain_known_malicious(bool),url_Count(int),dna_morphing_detected(bool),domain_tech_stack_match_score(float),is_high_risk_role_targeted(bool),sender_name_similarity_to_vip(float),urgency_keywords_present(bool),request_type(categorical),content_spam_score(float),user_marked_as_spam_before(bool),bulk_message_indicator(bool),unsubscribe_link_present(bool),marketing-keywords_detected(bool),html_text_ratio(float),image_only_email(bool),spf_result(enum),dkim_result(enum),dmarc_result(enum),reverse_dns_valid(bool),tls_version(ctegorical),total_links_detected(int),url_shortener_detected(bool),url_redirect_chain_length(int),final_url_known_malicious(bool),url_decoded_spoof_detected(bool),url_reputation_score(float),ssl_validity_status(enum),site_visual_similarity_to_known_brand(float),url_rendering_behavior_score(float),link_rewritten_through_redirector(bool),token_validation_success(bool),Analysis_of_the_qrcode_if_present(verdict-malicious or non-malicious)
2648,0.0,D2648,0,0.0077249427903638,0,0.0071827748916844,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,6.15038706056808e-06,0,0,5.642846421137019e-07,0,0.3356529697826444,0.0134522540434026,0.0085880236626243,0,0,0,1.0,0,7.960831632368778e-14,0,invoice_verification,0.0011957219057333,0,0,0,0,0.0,0,pass,neutral,fail,1,SSL,2,0,0,0,0,0.1104054844890475,valid,0.6219086904195581,0.3144480629677911,0,1,0
2649,1.0,D2649,0,0.116941533162617,0,1.6957392797864026e-05,1,0,0,0.0012507958786526,0,0,0,0,0,0,0.0181819898871767,0.06867327235366,0,0,0,0,0.7471130074129868,0,0,4,0.1755913900753159,"[""winword.exe"", ""powershell.exe""]",0,0,0.0001768843578305,0,0,0.0002488341341548,0,0.5679903802025975,1.8979787314393275e-08,0.0010743254794334,0,0,0,1.0,0,0.0492450629088415,0,none,5.649192922282833e-06,0,0,0,0,0.0,0,pass,none,none,1,TLS 1.3,1,0,0,0,0,0.0013383645476689,self signed,2.916735173441352e-05,1.4894345773265184e-11,0,0,0
2650,1.0,D2650,1,0.9029394263959534,0,0.0486387194710816,0,0,0,0.1434354910065904,0,0,0,0,0,0,0.6145993309810541,0.010616516483471,0,0,0,0,0.6109060779234716,0,0,4,3.7678587100954516e-42,"[""winword.exe"", ""powershell.exe"", ""regsvr32.exe""]",0,0,1.924592864821284e-20,0,0,1.2451497433555123e-06,0,0.0002240700706296,0.0007794219999252,0.0008766097466457,0,0,0,1.0,0,1.0432226076510983e-06,0,none,0.8223379775415592,0,0,0,0,0.0,0,fail,fail,temperror,1,TLS 1.1,1,0,0,0,0,0.0099518941802469,valid,2.722370965758032e-05,0.0019079883795116,0,1,0
2651,0.0,D2651,0,0.016732972980004,0,7.969903699545158e-08,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,6.609894422193704e-07,0,0,0.0916546684722299,0,0.0126684617099599,0.0295355883481473,0.0254293165411619,0,0,0,1.0,0,0.8815132812715819,0,wire_transfer,0.0004565024975278,0,0,0,0,0.0,0,pass,policy,none,1,TLS 1.2,0,0,0,0,0,0.0193159403112618,valid,0.0579699981875161,6.259458594471379e-05,0,1,0
2652,0.0,D2652,0,0.6491626498608484,0,1.4683933221660323e-05,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.729629140990696,0,0,0.0621781613930081,0,0.000258560399028,0.1161091965041623,0.0426206580769759,0,1,0,0.0,0,0.229861497385517,0,none,0.0014944327103866,0,0,1,0,0.0,0,softfail,none,fail,1,TLS 1.1,4,0,0,0,0,0.0015170464388785,valid,0.0143283460885172,0.7474062521212527,0,1,0
2653,0.0,D2653,0,0.8219284948280778,0,0.7475461049834908,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,4.2349403900018735e-12,0,0,0.0509108558499364,0,0.0142860582398536,0.0001564455308747,0.0300365612523487,0,0,0,1.0,0,0.0007131260536708,0,none,0.4318459430958552,0,0,0,0,0.0,0,pass,fail,permerror,1,TLS 1.2,0,0,0,0,0,0.7999704229178549,valid,3.945206492160608e-05,0.0005384299189363,0,1,0
2654,0.0,D2654,0,0.3433701081786649,0,0.0001649885195144,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0386084640488166,0,0,0.0090603842452733,0,0.6456719417812005,0.0001074384344302,0.0619839754682581,0,0,0,1.0,0,2.3769663225258743e-08,0,none,0.0004663990879766,0,0,0,0,0.0,0,pass,fail,temperror,1,TLS 1.3,0,0,0,0,0,0.0001615790802283,self signed,0.0007823600872223,0.0004917240579511,0,1,0
2655,0.0,D2655,0,0.4295415365342572,0,5.437842753302732e-05,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0.0,"[""""]",0,0,0.0137195760160803,0,0,0.6269893214127207,0,0.0078069598844682,0.0001594641505225,0.636938263273798,0,0,0,1.0,0,0.2673480614118716,0,gift_card_request,5.441216473352814e-10,0,0,1,0,0.0,0,pass,neutral,pass,1,TLS 1.2,0,0,0,0,0,0.194824692654973,expired,0.2148364577496492,0.0001977223731883,0,1,0
2656,1.0,D2656,0,0.0040141401583429,0,7.618557572714165e-07,0,0,0,0.0776662479561514,0,0,0,0,0,0,0.2934743515187352,0.0002758404538112,0,0,0,0,0.1566876018601138,0,1,4,0.0086045620783353,"[""winword.exe""]",0,0,0.0060257178565282,0,0,0.0766014312021097,0,0.0175680650012128,0.0021281820109509,0.7228590961893241,0,0,0,0.5,0,0.0010616559009701,0,wire_transfer,5.976922113646007e-10,0,0,0,0,0.0,0,fail,policy,fail,1,TLS 1.2,0,0,0,0,0,0.0015191017277577,mismatch,2.8998031958946844e-24,0.0186625108558169,0,1,0
2657,1.0,D2657,0,5.782660020801512e-08,0,0.4522404093169889,0,0,0,0.0023729017765368,0,0,0,0,0,0,0.01084455315233,0.6563856872078139,0,0,0,0,0.7180291168183631,0,0,5,7.311144254913909e-88,"[""winword.exe""]",0,0,2.366767277243496e-05,0,0,0.0007440579963173,0,0.0006618647234193,0.255842204863471,0.0072772316304987,0,0,0,0.0,0,0.0013980645674041,0,document_download,1.506012817375096e-07,0,0,0,0,0.0,0,pass,policy,fail,1,TLS 1.3,0,0,0,0,0,0.7454938183036672,valid,0.2271285840401341,0.1742269020676827,0,0,0
