Data ID,Classification,Confidence Score,Detailed Justification
D93,No Action,0.85,Low risk profile with good domain reputation (0.689) and passing SPF authentication. Request type is sensitive data retrieval but lacks malicious indicators like attachments or suspicious URLs. TLS 1.3 encryption and valid token suggest legitimate communication.
D94,Warning,0.75,Meeting request with mixed signals - has suspicious parent process (winword.exe) and failed DMARC check. Low domain reputation score (0.0009) and presence of network activity raises concerns. However no malicious attachments detected and valid SSL certificate present.
D95,Malicious,0.90,Critical security violations including DMARC enforcement enabled but failing authentication. Multiple suspicious parent processes (winword.exe) detected with high exfiltration score (0.846). Domain flagged as potentially malicious with very low reputation. Request type unspecified adds to risk profile.
D96,No Action,0.80,Clean security profile with no malicious indicators. Good return path reputation (0.351) and passing DMARC check. No attachments or executable content. Single URL with expired SSL but low overall risk score. Normal html/text ratio indicates legitimate content.
D97,Malicious,0.95,High-risk legal threat email targeting high-value role. Multiple critical failures including suspicious parent processes (outlook.exe) with extremely high exfiltration score (0.939). Failed SPF check and self-signed SSL certificate. Clear impersonation attempt with VIP name similarity.
D98,Malicious,0.92,Link click request with multiple security failures. Sender flagged as known malicious with spoofed domain. High behavioral sandbox score (0.754) and suspicious parent process (acrobat.exe). Failed DKIM check and presence of multiple URLs indicate phishing attempt.
D99,Spam,0.70,Bank detail update request with moderate risk. Good domain reputation (0.231) but failed DMARC authentication. No malicious attachments but presence of URL shortener and redirect chain. Valid SSL certificate but suspicious request type warrants caution.
D100,Malicious,0.93,VPN/MFA reset request with critical security failures. Multiple malicious indicators including packer detection executable attachments and suspicious parent processes (winword.exe powershell.exe). High spam score (0.778) and failed all authentication checks (SPF DKIM DMARC).
D78,No Action,0.88,Wire transfer request but with clean security profile. Excellent domain reputation and passing authentication checks. No malicious attachments or suspicious behavior. Valid SSL certificate and normal email characteristics. Low spam score confirms legitimacy.
D79,Malicious,0.91,Gift card request with multiple red flags. Suspicious parent processes including PowerShell and regsvr32 indicating potential malware execution. High exfiltration score (0.921) and failed DMARC. Domain reputation moderate but behavioral indicators strongly suggest BEC attack.
D80,Warning,0.72,Mixed signals with some suspicious elements. Parent process (excel.exe) detected with moderate sandbox score. Failed SPF but passed other checks. Multiple IOCs (9) found but low malicious attachment risk. Domain reputation poor requiring additional scrutiny.
D81,Malicious,0.89,High-risk profile with executable attachment and suspicious parent processes (winword.exe powershell.exe). Elevated metadata suspicious score (0.083) and behavioral concerns. Good domain reputation (0.338) but execution patterns indicate potential malware delivery attempt.
D82,Spam,0.65,Invoice verification request with low-level concerns. Known malicious return path but minimal other risk indicators. Failed authentication checks but no malicious attachments. Self-signed SSL certificate suggests unprofessional sender rather than targeted attack.
D83,Malicious,0.88,Suspicious activity with active network connections detected. Parent processes indicate document-based attack vector (winword.exe powershell.exe). High exfiltration score (0.893) and failed DKIM. Domain reputation moderate but behavioral patterns strongly suggest malware.
