Data ID,Classification,Confidence Score,Detailed Justification
D84,Malicious,0.91,"High-risk malicious email: significant metadata suspicious score (0.4169), moderate behavioral sandbox activity (0.0104), AMSI suspicion (0.0963), high exfiltration behavior (0.5856), process execution (winword.exe, powershell.exe, regsvr32.exe), urgency targeting (1.0), authentication failures (SPF fail, DKIM policy, DMARC fail), self-signed certificate indicating poor security infrastructure, high URL rendering behavior (0.4157). Multi-vector document-based attack with process execution chains."
D85,Warning,0.78,"Warning classification due to mixed signals: moderate sender domain reputation (0.3221), high temp email likelihood (0.5574), wire transfer request (high-risk BEC type), urgency targeting (0.5), authentication mixed (SPF pass, DKIM neutral, DMARC pass), good URL reputation (0.0693), minimal content spam score (0.0048). Sender reputation and request type warrant caution but strong authentication suggests legitimate infrastructure."
D86,Warning,0.82,"Warning classification: minimal sender reputation concerns (0.0222), urgency targeting (1.0) indicates social engineering attempt, high reply path reputation issues (0.3657), expired SSL certificate raises security concerns, high URL rendering behavior (0.8475) indicates suspicious redirect patterns, multiple URLs (2) with moderate reputation (0.5796). Mixed authentication results suggest compromised but not fully malicious infrastructure."
D87,No Action,0.87,"Low-risk legitimate email: extremely low sender reputation concerns (1.84e-09), minimal temp email likelihood (0.0039), no attachment threats, clean behavioral analysis, good authentication (DMARC pass despite SPF fail), good URL reputation (0.0010), high site visual similarity (0.3658) suggests branded content, very low content spam score (0.0002). Infrastructure issues minor compared to clean content signals."
D88,Warning,0.79,"Warning classification: sender spoof detected (1) is critical concern, minimal other sender risks, no attachment threats, clean behavioral analysis, urgency targeting (1.0), good authentication (DKIM/DMARC pass), extremely low URL reputation (8.11e-10) raises concern, high URL rendering behavior (0.2449) suggests redirect manipulation. Spoofing detection primary risk factor requiring caution."
D89,Spam,0.83,"Spam classification: moderate temp email likelihood (0.4955), gift card request type (common spam theme), high urgency targeting (1.0), high content spam score (0.8213), no attachment threats, clean behavioral analysis, good authentication (SPF/DMARC pass), moderate URL reputation (0.2451), high URL rendering behavior (0.7555). Pattern consistent with gift card spam campaign rather than malicious attack."
D90,Malicious,0.94,"High-risk malicious email: extremely high metadata suspicious score (0.8948), any exploit pattern detected (1), high behavioral sandbox activity (0.0005), AMSI suspicion (0.1008), high exfiltration behavior (0.2752), process execution via winword.exe, wire transfer request (BEC attack), urgency targeting (1.0), QR code analysis shows malicious verdict (1), high site visual similarity (0.9267) indicating brand impersonation. Advanced BEC attack with multiple attack vectors."
D91,Malicious,0.96,"Confirmed high-risk malicious email: extremely high sender domain reputation (0.9809), extremely high behavioral sandbox score (0.8589), high metadata suspicious score (2.35e-07), high exfiltration behavior (0.2575), process execution via winword.exe, document download request, urgency targeting (1.0), authentication failures (DKIM fail), self-signed certificate, extremely low content spam score but high threat indicators confirm sophisticated attack. APT-level threat with compromised high-reputation domain."
D92,Warning,0.81,"Warning classification: sender spoof detected (1) is primary concern, moderate return path reputation (0.3450), no attachment threats, clean behavioral analysis, urgency targeting (1.0), authentication failures (SPF/DKIM fail), good URL reputation (0.1806), low content spam score (0.0005). Spoofing attempt with infrastructure concerns but no active malicious payload detected."
D93,No Action,0.85,"Low-risk business communication: moderate sender domain reputation (0.1235), sensitive data request requires caution but other signals clean, no attachment threats, minimal behavioral risks, good authentication (DKIM pass), good URL reputation (0.0470), moderate site visual similarity (0.0672), very low content spam score (3.00e-05). Standard business request with appropriate security measures."
D94,Malicious,0.92,"High-risk malicious email: total IOC count (1) indicates compromise, significant metadata suspicious score (0.2356), any exploit pattern detected (1), return path known malicious (1), high SMTP IP reputation concerns (0.7241), meeting request type for social engineering, urgency targeting (0.5), self-signed certificate indicating poor infrastructure, extremely low URL reputation (2.59e-07). Meeting-based social engineering attack with compromised infrastructure."
D95,Malicious,0.93,"Confirmed malicious threat: extremely high metadata suspicious score (0.9021), macro-enabled document (1), high AMSI suspicion (0.5208), high exfiltration behavior (0.0664), process execution via winword.exe, urgency targeting (1.0), authentication failures (DKIM/DMARC fail), extremely low URL reputation (5.76e-11), high site visual similarity (0.1700). Macro-based malware with sophisticated evasion techniques."
D96,Warning,0.80,"Warning classification: sender spoof detected (1) primary concern, moderate return path reputation (0.5078), high reply path reputation issues (0.9022), urgency targeting (0.5), authentication mixed (SPF pass, DKIM none, DMARC fail), good URL reputation (0.2858), low content spam score (0.0357). Spoofing attempt with reputation concerns but no active malicious payload."
